[2025-05-10 13:57:56] info: 	z2m: Logging to console, file (filename: log.log)
[2025-05-10 13:57:56] info: 	z2m: Starting Zigbee2MQTT version 2.3.0 (commit #unknown)
[2025-05-10 13:57:56] info: 	z2m: Starting zigbee-herdsman (4.0.0)
[2025-05-10 13:57:56] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2025-05-10 13:57:56] info: 	zh:zstack:znp: Serialport opened
[2025-05-10 13:57:57] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2025-05-10 13:57:58] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2025-05-10 13:58:08] info: 	z2m: zigbee-herdsman started (resumed)
[2025-05-10 13:58:08] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"ZStack3x0"}'
[2025-05-10 13:58:08] info: 	z2m: Currently 0 devices are joined.
[2025-05-10 13:58:08] info: 	z2m: Connecting to MQTT server at mqtt://192.168.31.104:1883
[2025-05-10 13:58:08] info: 	z2m: Connected to MQTT server
[2025-05-10 13:58:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2025-05-10 13:58:08] info: 	z2m: Started frontend on port 8099
[2025-05-10 13:58:09] info: 	z2m: Zigbee2MQTT started!
[2025-05-10 13:58:14] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x00124b0030e9f7a2/connection_state/config', payload '{"device":{"hw_version":"ZStack3x0 20240710","identifiers":["zigbee2mqtt_bridge_0x00124b0030e9f7a2"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"2.3.0"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"2.3.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x00124b0030e9f7a2_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
